paper_item,paper_source,supporting_file,audit_status,notes
Table 1 10-seed audit,current paper Table 1,tables/main_table1_10seed_audit.csv,MATCH,"Main Table 1 is now directly supported, including percentage mean/std and paired-bootstrap delta columns."
Table 2 LLM,current paper Table 2,tables/main_table2_llm_summary.csv,MATCH,"Updated Flat-LoRA r=8 and r=16 GSM8K, HumanEval, and MT-Bench values to match current Table 2."
Table 2 LLM math detail,current paper Table 2,tables/llm/llm_math.csv,MATCH,Replaced stale detailed export with a clean paper-aligned summary.
Table 2 LLM code detail,current paper Table 2,tables/llm/llm_code.csv,MATCH,Replaced stale detailed export with a clean paper-aligned summary.
Table 2 LLM chat detail,current paper Table 2,tables/llm/llm_chat_gpt4_1.csv,MATCH,Updated Flat-LoRA MT-Bench gpt-4.1 values to match current Table 2.
Table 3 GLUE,current paper Table 3,tables/appendix_table3_glue_summary.csv,MATCH,Renumbered from the older main Table 1 support file. Displayed values match current Appendix Table 3.
Table 4 CLIP,current paper Table 4,tables/appendix_table4_clip_summary.csv,MATCH,Renumbered from the older main Table 2 support file. Displayed values match current Appendix Table 4.
Table 5 ablation,current paper Table 5,tables/appendix_table5_same_setup_ablation_paper_reported.csv,MATCH,Paper-reported summary; raw ablation logs were not in the uploaded artifact.
Table 6 R-Drop probe,current paper Table 6,tables/appendix_table6_rdrop_probe_paper_reported.csv,MATCH,Paper-reported summary; raw probe logs were not in the uploaded artifact.
Table 7 gpt-5.2 MT-Bench,current paper Table 7,tables/appendix_table7_mtbench_gpt52_summary.csv; tables/llm/llm_chat_gpt5_2.csv,MATCH,Clean gpt-5.2 summary aligned to current Appendix Table 7.
Table 8 10-seed checks,current paper Table 8,tables/appendix_table8_10seed_checks_summary.csv,MATCH,Renumbered from the older Appendix Table 7 support file.
Tables 9-18 appendix support,current paper Tables 9-18,tables/appendix_table9_*.csv through tables/appendix_table18_*.csv,COVERED,Coverage map is in tables/table_coverage_audit_v6.csv.
Figure 1 SDXL qualitative,current paper Figure 1,results/sdxl_qualitative/*.png,COVERED,Three qualitative PNG files are present.
